Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,20780.0,20780.0,20240.0,20320.0,15590.943359375,942200
2015-01-05,20320.0,20340.0,20120.0,20220.0,15514.216796875,816600
2015-01-06,20220.0,20280.0,19820.0,20100.0,15422.146484375,2318000
2015-01-07,20000.0,20100.0,19840.0,20020.0,15360.7685546875,1208650
2015-01-08,20320.0,20700.0,20140.0,20440.0,15683.017578125,1670900
2015-01-09,20620.0,20660.0,20440.0,20460.0,15698.3701171875,1669800
2015-01-12,20460.0,20680.0,20000.0,20500.0,15729.0576171875,1269300
2015-01-13,20500.0,20640.0,19700.0,20500.0,15729.0576171875,2589450
2015-01-14,20500.0,20900.0,20500.0,20560.0,15775.0927734375,2785000
2015-01-15,20560.0,20960.0,19980.0,20560.0,15775.0927734375,2190150
2015-01-16,20560.0,20640.0,20260.0,20400.0,15652.33203125,893400
2015-01-19,20400.0,20720.0,20400.0,20620.0,15821.130859375,424850
2015-01-20,20620.0,21160.0,20620.0,20760.0,15928.5458984375,1998900
2015-01-21,20780.0,21580.0,20760.0,21580.0,16557.71484375,2000100
2015-01-22,21580.0,21780.0,21260.0,21300.0,16342.869140625,1862850
2015-01-23,21460.0,21580.0,21180.0,21460.0,16465.638671875,1399200
2015-01-26,20880.0,21420.0,20840.0,21360.0,16388.90625,1410550
2015-01-27,21160.0,21500.0,20940.0,21260.0,16312.177734375,1211200
2015-01-28,20960.0,21340.0,20900.0,21140.0,16220.1162109375,1051250
2015-01-29,21200.0,21440.0,20980.0,21320.0,16358.216796875,1464650
2015-01-30,21360.0,21640.0,21100.0,21320.0,16358.216796875,1544300
2015-02-02,21020.0,21240.0,21020.0,21200.0,16266.1455078125,1008050
2015-02-03,21300.0,21300.0,20760.0,21060.0,16158.734375,1099450
2015-02-04,21780.0,21780.0,21400.0,21540.0,16527.017578125,1872750
2015-02-05,21320.0,21500.0,21060.0,21220.0,16281.4931640625,1332200
2015-02-06,21440.0,21520.0,21160.0,21400.0,16419.603515625,1349700
2015-02-09,21520.0,21860.0,21300.0,21660.0,16619.091796875,914500
2015-02-10,21360.0,21540.0,21320.0,21420.0,16434.947265625,1076550
2015-02-11,21180.0,21380.0,20580.0,20680.0,15867.1650390625,1928800
2015-02-12,20600.0,20860.0,20600.0,20860.0,16005.2744140625,755400
2015-02-13,20900.0,21020.0,20760.0,21020.0,16128.0439453125,1552850
2015-02-16,20900.0,20960.0,20740.0,20940.0,16066.65625,564000
2015-02-17,20900.0,20940.0,20780.0,20800.0,15959.2373046875,620800
2015-02-23,20600.0,20920.0,20600.0,20840.0,15989.93359375,1441600
2015-02-24,21040.0,21220.0,20960.0,21120.0,16204.765625,2058200
2015-02-25,21140.0,21580.0,21140.0,21580.0,16557.71484375,2424750
2015-02-26,21580.0,21580.0,21080.0,21360.0,16388.90625,733550
2015-02-27,21340.0,21340.0,20960.0,20960.0,16081.9990234375,1630550
2015-03-02,21040.0,21540.0,20980.0,21300.0,16342.869140625,2680000
2015-03-03,21840.0,22180.0,21640.0,21840.0,16757.197265625,4356700
2015-03-04,22000.0,22020.0,21820.0,22000.0,16879.96484375,1706000
2015-03-05,22000.0,22020.0,21700.0,21700.0,16649.779296875,1265900
2015-03-06,22040.0,22060.0,21780.0,22060.0,16925.99609375,878850
2015-03-09,21740.0,21960.0,21660.0,21700.0,16649.779296875,880300
2015-03-10,21800.0,22000.0,21560.0,21560.0,16542.3671875,1142300
2015-03-11,21600.0,22300.0,21560.0,22060.0,16925.99609375,2124800
2015-03-12,22200.0,22480.0,22140.0,22280.0,17094.798828125,1612450
2015-03-13,22280.0,22800.0,22280.0,22600.0,17340.328125,1036150
2015-03-16,22620.0,22880.0,22360.0,22360.0,17156.1796875,1599500
2015-03-17,22560.0,22700.0,22440.0,22460.0,17232.908203125,1535700
2015-03-18,22340.0,22680.0,22340.0,22560.0,17309.6328125,1467950
2015-03-19,22620.0,22660.0,22180.0,22340.0,17140.833984375,1453950
2015-03-20,22140.0,22340.0,21840.0,21900.0,16803.23828125,1504150
2015-03-23,21900.0,22120.0,21880.0,22100.0,16956.69140625,799100
2015-03-24,21780.0,22100.0,21740.0,22100.0,16956.69140625,1087500
2015-03-25,22100.0,22260.0,21920.0,22260.0,17079.45703125,827550
2015-03-26,21800.0,21940.0,21640.0,21780.0,16711.1640625,1452150
2015-03-27,21380.0,21820.0,21380.0,21660.0,16619.091796875,1034400
2015-03-30,22100.0,22160.0,21660.0,21740.0,16680.47265625,879700
2015-03-31,21840.0,22080.0,21800.0,22080.0,16941.345703125,1553600
2015-04-01,22000.0,22000.0,21720.0,21760.0,16695.8203125,787000
2015-04-02,21960.0,21960.0,21800.0,21820.0,16741.859375,382950
2015-04-03,21800.0,21980.0,21720.0,21960.0,16849.2734375,834250
2015-04-06,21960.0,22740.0,21880.0,22680.0,17401.7109375,707250
2015-04-07,23000.0,23080.0,22860.0,22940.0,17601.19921875,2527650
2015-04-08,22940.0,23380.0,22860.0,23320.0,17892.759765625,1541900
2015-04-09,23060.0,23240.0,22920.0,22980.0,17631.884765625,1592300
2015-04-10,23000.0,23220.0,22920.0,23220.0,17816.037109375,863200
2015-04-13,23160.0,23260.0,22740.0,23220.0,17816.037109375,1091450
2015-04-14,22860.0,23140.0,22800.0,23000.0,17647.23828125,1186700
2015-04-15,23020.0,23040.0,22420.0,22600.0,17340.328125,1450100
2015-04-16,22680.0,22860.0,22500.0,22640.0,17371.021484375,1517200
2015-04-17,22640.0,22960.0,22540.0,22960.0,17616.54296875,1777150
2015-04-20,22780.0,22840.0,22640.0,22780.0,17478.435546875,1479150
2015-04-21,22700.0,22780.0,22400.0,22560.0,17309.6328125,1526400
2015-04-22,22880.0,22880.0,22500.0,22620.0,17355.673828125,1582350
2015-04-23,22680.0,22800.0,22320.0,22680.0,17401.7109375,1449050
2015-04-24,22500.0,22600.0,21400.0,21440.0,16450.296875,4554700
2015-04-27,21500.0,21700.0,21000.0,21140.0,16220.1162109375,2772900
2015-04-28,21140.0,21420.0,20980.0,21020.0,16128.0439453125,1616050
2015-04-29,21020.0,21480.0,21020.0,21280.0,16327.5302734375,1008850
2015-04-30,21500.0,21800.0,21360.0,21800.0,16726.5078125,2009400
2015-05-04,22180.0,22280.0,21780.0,22220.0,17048.759765625,1555050
2015-05-06,21880.0,22300.0,21100.0,21380.0,16404.255859375,1526700
2015-05-07,21200.0,21440.0,20960.0,21000.0,16112.69140625,1580250
2015-05-08,20760.0,20940.0,20640.0,20640.0,15836.4755859375,1450700
2015-05-11,20840.0,20880.0,20400.0,20400.0,15652.33203125,1405200
2015-05-12,20540.0,20740.0,20380.0,20440.0,15683.017578125,1230800
2015-05-13,20440.0,20620.0,20340.0,20360.0,15621.6376953125,1203350
2015-05-14,20700.0,20980.0,20600.0,20980.0,16097.3447265625,902000
2015-05-15,21140.0,21380.0,20720.0,20740.0,15913.201171875,936900
2015-05-18,21060.0,21060.0,20520.0,20740.0,15913.201171875,547100
2015-05-19,20940.0,21160.0,20740.0,20800.0,15959.2373046875,891000
2015-05-20,21000.0,21240.0,20980.0,21220.0,16281.4931640625,688500
2015-05-21,21460.0,21460.0,21020.0,21300.0,16342.869140625,644400
2015-05-22,21400.0,21400.0,20860.0,21380.0,16404.255859375,1047200
2015-05-26,21260.0,21960.0,21260.0,21920.0,16818.58203125,1237250
2015-05-27,21380.0,21520.0,20940.0,20940.0,16066.65625,1476600
2015-05-28,21160.0,21680.0,20960.0,21280.0,16327.5302734375,1147800
2015-05-29,21400.0,21660.0,21160.0,21580.0,16557.71484375,4264400
2015-06-01,20940.0,21400.0,20860.0,21200.0,16266.1455078125,960400
2015-06-02,21400.0,21500.0,20660.0,20660.0,15851.8193359375,1092700
2015-06-03,20860.0,20880.0,20500.0,20600.0,15805.7802734375,1136750
2015-06-04,20860.0,21400.0,20860.0,21200.0,16266.1455078125,2542650
2015-06-05,21060.0,21440.0,21000.0,21020.0,16128.0439453125,1002900
2015-06-08,20920.0,21080.0,20360.0,20360.0,15621.6376953125,875700
2015-06-09,20360.0,20500.0,19740.0,19740.0,15145.9326171875,1738500
2015-06-10,19900.0,20020.0,19700.0,19700.0,15115.244140625,1305050
